mah_id,mah_name,ilce_name,current_score,future_potential_score,predicted_score_5y,score_change_5y,future_class,growth_built_growth,growth_ntl_growth,growth_poi_vitality,growth_accessibility,growth_pop_dynamics,growth_urban_form,risk_flood_risk,risk_noise_risk,risk_heat_risk,risk_low_green,risk_overcrowding
alanya_yaylakonak,YAYLAKONAK,Alanya,17.84016096939785,62.39,20.32,2.48,Orta Potansiyel,8.11,67.32,37.06,30.04,98.57,26.32,1.64,17.65,15.02,15.13,6.25
alanya_yaylali,YAYLALI,Alanya,40.466767881030464,95.5,49.57,9.1,Yuksek Potansiyel,58.99,79.93,68.2,59.32,83.66,60.09,0.88,67.32,19.08,27.41,55.59
alanya_yenikoy,YENİKÖY,Alanya,21.51679021489258,70.39,25.6,4.08,Yuksek Potansiyel,56.25,77.08,37.17,36.95,38.27,38.71,20.72,17.65,24.34,25.55,51.21
alanya_yesiloz,YEŞİLÖZ,Alanya,46.2865005058094,64.69,49.23,2.94,Orta Potansiyel,82.57,46.82,63.49,57.35,9.76,61.18,54.82,57.57,35.86,54.82,68.53
alanya_cakallar,ÇAKALLAR,Alanya,20.71308376567453,40.68,19.78,-0.93,Dusuk Potansiyel,40.79,11.84,52.41,35.09,83.55,26.86,31.91,49.45,18.09,13.27,31.91
alanya_camlica,ÇAMLICA,Alanya,30.217240911498763,61.07,32.43,2.21,Orta Potansiyel,15.46,57.46,37.83,39.69,95.83,35.86,4.61,44.52,23.14,7.79,10.2
alanya_carsi,ÇARŞI,Alanya,52.07560706390581,95.72,61.22,9.14,Yuksek Potansiyel,69.19,94.41,93.09,80.26,29.39,99.01,53.07,96.05,24.12,71.05,87.5
alanya_ciplakli,ÇIPLAKLI,Alanya,86.66625852107414,99.67,95.0,8.33,Yuksek Potansiyel,88.71,99.12,78.07,79.93,85.75,80.7,44.96,82.13,37.61,54.5,71.38
alanya_otekoy,ÖTEKÖY,Alanya,6.25352685837017,22.04,3.46,-2.8,Risk Altinda,13.82,13.93,34.76,19.63,86.84,1.32,9.98,17.65,6.91,43.53,12.5
alanya_ozvadi,ÖZVADİ,Alanya,18.137778340032337,67.0,21.54,3.4,Orta Potansiyel,70.07,74.56,51.75,45.72,17.21,51.32,34.32,61.84,47.26,53.84,64.25
alanya_uzumlu,ÜZÜMLÜ,Alanya,14.089912280672976,42.32,13.32,-0.77,Dusuk Potansiyel,6.8,54.28,13.38,25.77,96.93,16.78,7.79,17.65,6.58,29.17,5.37
alanya_imamli,İMAMLI,Alanya,27.77985829948419,78.4,33.46,5.68,Yuksek Potansiyel,76.21,84.21,45.94,53.95,15.9,58.0,26.32,55.81,41.67,48.14,59.21
alanya_incekum,İNCEKUM,Alanya,44.123325358150026,68.09,47.74,3.62,Orta Potansiyel,58.11,36.4,69.08,69.96,61.18,66.45,41.34,70.83,34.1,35.31,58.33
alanya_isbatli,İSBATLI,Alanya,15.128795546530617,78.51,20.83,5.7,Yuksek Potansiyel,84.76,74.34,14.36,50.0,57.24,47.59,37.83,17.65,39.8,25.33,50.88
alanya_ishakli,İSHAKLI,Alanya,32.44281376502588,85.2,39.48,7.04,Yuksek Potansiyel,64.69,74.12,67.54,60.53,73.03,56.69,38.82,67.21,31.36,39.8,60.42
alanya_sekerhane,ŞEKERHANE,Alanya,89.58361689798019,82.35,95.0,5.42,Yuksek Potansiyel,37.39,94.08,99.34,93.53,45.39,98.46,66.45,98.9,46.6,98.68,97.48
alanya_sihlar,ŞIHLAR,Alanya,24.54458310720384,54.28,25.4,0.86,Orta Potansiyel,10.09,56.58,33.44,37.61,99.67,30.81,23.25,17.65,26.43,5.81,4.71
demre_alakent,ALAKENT,Demre,40.01341749442173,65.46,43.11,3.09,Orta Potansiyel,96.93,49.34,72.59,77.52,7.24,70.72,89.47,68.64,59.87,90.9,82.57
demre_beloren,BELÖREN,Demre,20.24877916436525,39.58,19.21,-1.04,Dusuk Potansiyel,16.12,38.6,20.94,23.68,88.16,24.78,11.29,40.68,5.7,9.1,9.1
demre_buyukkum,BÜYÜKKUM,Demre,69.77047486457403,79.71,75.71,5.94,Yuksek Potansiyel,83.77,70.39,72.81,73.25,25.88,75.44,79.71,71.49,40.9,61.51,71.05
demre_davazlar,DAVAZLAR,Demre,10.322956230761934,38.16,9.14,-1.18,Dusuk Potansiyel,32.35,20.72,26.21,19.74,84.32,29.93,15.02,17.65,16.34,11.73,11.29
demre_gokyazi,GÖKYAZI,Demre,67.70033112563782,94.19,76.54,8.84,Yuksek Potansiyel,99.12,84.54,87.61,85.53,56.14,82.89,95.39,84.43,59.54,89.04,82.02
demre_gurses,GÜRSES,Demre,20.037235485581096,50.44,20.12,0.09,Orta Potansiyel,58.88,4.61,46.49,49.78,55.26,52.41,11.18,54.17,22.48,22.81,37.39
demre_kaleucagiz,KALEÜÇAĞIZ,Demre,39.075910930976015,68.64,42.8,3.73,Orta Potansiyel,44.63,46.27,65.13,51.54,87.06,58.99,48.68,58.33,26.54,21.05,25.55
demre_kapakli,KAPAKLI,Demre,24.0147516678098,48.36,23.85,-0.16,Orta Potansiyel,60.96,19.74,49.23,39.25,48.25,54.17,36.4,54.71,30.7,27.3,42.98
demre_karabucak,KARABUCAK,Demre,54.471048413975055,88.82,62.23,7.76,Yuksek Potansiyel,73.79,79.61,61.73,67.98,66.78,72.7,50.55,59.43,42.32,50.11,58.22
demre_kayaalti,KAYAALTI,Demre,22.81614794189355,77.74,28.36,5.55,Yuksek Potansiyel,84.87,85.31,67.21,58.44,16.01,72.37,78.62,68.2,45.94,67.21,73.79
demre_koskerler,KÖŞKERLER,Demre,56.99645748952284,53.29,57.65,0.66,Orta Potansiyel,63.71,45.5,44.19,50.11,51.64,45.94,56.58,56.69,36.51,47.92,51.75
demre_kucukkum,KÜÇÜKKUM,Demre,41.40657894696575,75.88,46.58,5.18,Yuksek Potansiyel,89.36,87.83,73.03,74.78,5.59,72.26,95.83,73.57,57.68,92.54,79.71
demre_yavu,YAVU,Demre,18.935728744884017,28.07,16.74,-2.19,Dusuk Potansiyel,47.04,14.14,40.79,25.99,43.53,35.53,36.51,50.44,27.85,23.68,34.65
demre_yaylakaya,YAYLAKAYA,Demre,42.963141025409946,72.37,47.44,4.47,Yuksek Potansiyel,87.28,84.98,65.68,69.3,2.85,66.34,91.67,64.8,54.71,85.86,80.48
demre_cagman,ÇAĞMAN,Demre,13.076731777871585,8.77,8.95,-4.12,Risk Altinda,28.95,8.88,23.68,3.07,36.95,7.89,17.54,39.47,9.65,17.43,26.86
demre_cevreli,ÇEVRELİ,Demre,47.1357118755733,42.0,46.34,-0.8,Dusuk Potansiyel,73.14,9.21,50.44,46.27,16.78,64.58,44.3,17.65,49.89,41.12,56.36
dosemealti_ahirtas,AHIRTAŞ,Döşemealtı,22.937601736253683,44.74,22.41,-0.53,Dusuk Potansiyel,17.87,51.97,44.63,37.17,82.57,16.12,29.93,17.65,52.08,12.72,19.74
dosemealti_akkoc,AKKOÇ,Döşemealtı,15.361028214835727,23.9,12.75,-2.61,Risk Altinda,17.0,51.1,17.76,5.81,59.43,19.96,27.52,17.65,35.75,21.38,18.64
dosemealti_altinkale,ALTINKALE,Döşemealtı,54.02960526258826,81.58,60.35,6.32,Yuksek Potansiyel,74.12,94.63,72.26,77.3,62.17,79.82,93.75,74.34,99.56,72.81,65.79
dosemealti_ayanlar,AYANLAR,Döşemealtı,25.54105624881906,53.84,26.31,0.77,Orta Potansiyel,50.99,30.59,47.04,56.14,66.01,63.6,39.14,49.67,49.12,26.54,45.94
dosemealti_aydinlar,AYDINLAR,Döşemealtı,24.119641888177703,56.25,25.37,1.25,Orta Potansiyel,53.73,38.82,53.29,55.15,54.71,63.82,47.7,49.01,52.41,29.5,49.67
dosemealti_asagioba,AŞAĞIOBA,Döşemealtı,21.68289473671625,43.97,21.08,-0.6,Dusuk Potansiyel,63.16,75.44,62.5,64.04,0.55,50.33,94.19,71.82,98.36,75.44,64.58
dosemealti_bademagaci,BADEMAĞACI,Döşemealtı,28.480376198171847,33.0,26.78,-1.7,Dusuk Potansiyel,46.71,45.29,47.15,56.47,19.85,58.11,63.93,49.56,75.77,65.79,53.07
dosemealti_bahceyaka,BAHÇEYAKA,Döşemealtı,63.04230263119486,75.22,68.09,5.04,Yuksek Potansiyel,77.63,63.38,81.36,80.48,82.24,83.66,93.64,79.06,97.92,77.3,70.94
dosemealti_biyikli,BIYIKLI,Döşemealtı,14.77278893106047,21.49,11.92,-2.85,Risk Altinda,51.21,5.15,58.44,56.25,5.26,51.75,64.47,55.59,43.97,53.18,48.9
dosemealti_camili,CAMİLİ,Döşemealtı,22.081541882792305,56.69,23.42,1.34,Orta Potansiyel,44.96,63.05,51.21,65.35,73.46,35.75,51.32,17.65,97.7,61.95,42.32
dosemealti_dagbeli,DAĞBELİ,Döşemealtı,31.72400072339752,27.52,29.48,-2.25,Dusuk Potansiyel,42.43,42.54,41.45,12.83,24.23,37.72,45.5,45.72,35.96,42.43,43.64
dosemealti_dereli,DERELİ,Döşemealtı,16.216641956947615,42.21,15.44,-0.78,Dusuk Potansiyel,73.57,62.61,56.91,63.71,11.07,47.15,88.49,68.09,100.0,93.31,59.87
dosemealti_duzlercami,DÜZLERÇAMI,Döşemealtı,38.809605262788686,78.29,44.47,5.66,Yuksek Potansiyel,52.74,81.36,66.89,70.5,89.04,75.55,75.66,52.63,86.73,47.04,44.96
dosemealti_eksili,EKŞİLİ,Döşemealtı,30.2202001481362,47.04,29.92,-0.3,Orta Potansiyel,48.68,64.91,47.37,57.13,54.39,31.47,56.69,51.75,92.43,59.1,47.7
dosemealti_ilicakoy,ILICAKÖY,Döşemealtı,31.089177168146456,60.42,33.17,2.08,Orta Potansiyel,51.86,80.48,62.39,65.02,51.1,40.46,68.53,54.93,95.61,67.76,47.26
dosemealti_karaman,KARAMAN,Döşemealtı,21.616386326598068,39.36,20.55,-1.06,Dusuk Potansiyel,20.29,22.15,31.8,55.59,86.29,44.63,40.13,36.07,32.02,7.46,12.61
dosemealti_karatas,KARATAŞ,Döşemealtı,33.54399555212196,60.96,35.74,2.19,Orta Potansiyel,65.79,79.82,64.36,67.11,34.54,65.35,83.11,63.82,99.34,92.87,62.06
dosemealti_karaveliler,KARAVELİLER,Döşemealtı,27.960797612533472,54.82,28.93,0.96,Orta Potansiyel,43.53,57.57,43.09,54.5,72.37,27.63,46.16,48.03,57.02,29.82,33.33
dosemealti_kevsirler,KEVŞİRLER,Döşemealtı,14.906078576671884,48.14,14.72,-0.19,Orta Potansiyel,58.66,72.92,53.4,55.7,36.18,45.61,74.01,60.53,99.89,83.22,53.29
dosemealti_kovanlik,KOVANLIK,Döşemealtı,27.701008319714283,45.5,27.25,-0.45,Orta Potansiyel,51.97,55.7,40.46,47.37,26.75,39.47,51.43,47.7,48.57,47.59,47.15
dosemealti_killik,KİLLİK,Döşemealtı,26.39835413270268,43.86,25.78,-0.61,Dusuk Potansiyel,33.77,44.3,28.84,37.39,78.51,12.72,34.87,17.65,30.92,16.23,25.99
dosemealti_nebiler,NEBİLER,Döşemealtı,47.1739473679304,40.24,46.2,-0.98,Dusuk Potansiyel,73.03,5.26,65.02,72.48,0.44,72.59,58.44,67.54,52.85,32.02,84.54
dosemealti_orta,ORTA,Döşemealtı,31.818638090009756,64.91,34.8,2.98,Orta Potansiyel,46.27,57.68,59.21,68.09,66.89,68.09,59.87,62.17,55.48,47.37,46.16
dosemealti_selimiye,SELİMİYE,Döşemealtı,8.789999999980154,22.7,6.06,-2.73,Risk Altinda,60.75,44.41,57.13,67.0,4.39,33.77,92.65,65.79,98.03,94.74,62.28
dosemealti_tomalar,TOMALAR,Döşemealtı,41.156289473518825,88.38,48.83,7.68,Yuksek Potansiyel,74.34,79.28,79.17,77.63,88.93,83.44,91.12,17.65,95.72,62.17,62.83
dosemealti_yalinli,YALINLI,Döşemealtı,46.59776315741492,73.9,51.38,4.78,Yuksek Potansiyel,66.34,75.11,73.36,77.74,34.87,75.66,78.73,64.04,72.92,46.82,70.83
dosemealti_yagca,YAĞCA,Döşemealtı,28.268832519387693,66.23,31.51,3.25,Orta Potansiyel,49.12,78.29,54.5,59.1,48.14,60.42,63.38,56.14,58.22,43.2,51.97
dosemealti_yesilbayir,YEŞİLBAYIR,Döşemealtı,53.99960526286962,74.01,58.8,4.8,Yuksek Potansiyel,70.29,90.13,74.89,78.73,27.41,82.02,88.82,75.99,98.46,63.6,73.57
dosemealti_ciglik,ÇIĞLIK,Döşemealtı,29.76605263136257,67.98,33.36,3.6,Orta Potansiyel,63.27,70.18,65.24,67.76,61.29,74.67,85.86,17.65,98.68,76.21,61.29
elmali_ahatli,AHATLI,Elmalı,19.89620636639166,15.13,16.41,-3.49,Risk Altinda,33.44,27.74,3.78,27.3,25.22,21.05,19.41,17.65,29.28,42.87,39.14
elmali_akcaenis,AKÇAENİŞ,Elmalı,29.42860372575203,30.7,27.5,-1.93,Dusuk Potansiyel,53.4,40.35,61.4,64.25,40.46,29.82,94.96,67.65,62.5,89.69,58.77
elmali_akcay,AKÇAY,Elmalı,32.197187556458694,20.94,29.29,-2.91,Risk Altinda,54.71,27.19,59.76,48.79,13.05,42.76,78.84,58.99,64.8,80.48,60.31
elmali_armutlu,ARMUTLU,Elmalı,16.94203291731053,11.07,13.05,-3.89,Risk Altinda,43.86,25.88,32.02,4.5,14.14,16.89,49.23,49.12,14.14,43.75,44.52
korkuteli_avdan,AVDAN,Korkuteli,17.934798336010083,7.13,13.65,-4.29,Risk Altinda,22.04,41.23,15.79,3.62,45.5,15.57,36.95,17.65,77.41,46.93,20.83
elmali_bayindir,BAYINDIR,Elmalı,18.71416621446764,16.67,15.38,-3.33,Risk Altinda,38.71,48.57,22.15,17.11,24.45,25.44,29.17,17.65,91.89,61.62,38.38
elmali_bayralar,BAYRALAR,Elmalı,28.409861638577127,14.8,24.89,-3.52,Risk Altinda,52.19,42.76,46.71,49.45,8.22,32.13,94.41,55.26,81.36,93.53,58.0
elmali_beyler,BEYLER,Elmalı,19.612294266554954,0.99,14.71,-4.9,Risk Altinda,45.72,5.37,54.93,20.29,12.06,49.89,91.78,62.06,89.04,92.11,56.69
elmali_bozhuyuk,BOZHÜYÜK,Elmalı,29.617878458976502,21.82,26.8,-2.82,Risk Altinda,26.21,59.76,22.59,8.22,82.02,28.84,60.42,17.65,69.96,71.38,34.21
elmali_buyuksogle,BÜYÜKSÖĞLE,Elmalı,15.785969433861863,4.39,11.22,-4.56,Risk Altinda,19.63,31.03,15.46,4.06,23.68,16.67,30.59,36.73,38.82,51.86,23.57
elmali_camiatik,CAMİATİK,Elmalı,34.361616997748555,83.55,41.07,6.71,Yuksek Potansiyel,69.3,62.17,85.2,81.14,22.04,80.59,6.69,17.65,92.21,66.78,79.82
elmali_camicedit,CAMİCEDİT,Elmalı,14.4833684210253,40.57,13.54,-0.94,Dusuk Potansiyel,23.46,42.32,48.79,71.16,42.43,35.31,1.97,56.91,88.16,24.34,50.44
elmali_derekoy,DEREKÖY,Elmalı,0.7051455959471744,5.15,0.0,-0.71,Risk Altinda,9.65,15.02,3.78,2.19,94.74,11.73,21.93,17.65,50.77,31.69,4.5
elmali_duden,DÜDEN,Elmalı,22.77244981004673,32.51,21.02,-1.75,Dusuk Potansiyel,49.67,68.42,45.61,41.78,5.48,41.78,69.19,54.82,73.68,73.36,55.48
elmali_eskihisar,ESKİHİSAR,Elmalı,28.88119461018047,39.91,27.87,-1.01,Dusuk Potansiyel,55.81,33.22,43.86,47.15,22.92,39.91,48.46,17.65,37.39,55.92,57.57
elmali_eymir,EYMİR,Elmalı,22.512660517227545,13.71,18.88,-3.63,Risk Altinda,51.75,50.11,43.2,48.57,7.57,24.23,94.63,57.35,94.52,90.13,56.91
elmali_gecmen,GEÇMEN,Elmalı,10.723774642770556,10.96,6.82,-3.9,Risk Altinda,20.5,27.63,3.78,12.72,58.88,13.82,21.27,17.65,29.61,48.36,21.16
elmali_gecit,GEÇİT,Elmalı,6.912280701740143,3.29,2.24,-4.67,Risk Altinda,42.98,33.88,3.78,4.82,36.84,6.25,68.31,17.65,55.04,65.24,45.61
elmali_gokpinar,GÖKPINAR,Elmalı,26.86644591608377,20.61,23.93,-2.94,Risk Altinda,49.56,14.04,56.58,50.33,63.27,57.02,66.12,56.47,99.78,91.78,52.63
elmali_muren,MÜREN,Elmalı,20.4139310905722,8.11,16.23,-4.19,Risk Altinda,35.42,36.51,18.97,12.5,24.12,29.06,55.26,17.65,63.05,60.86,40.24
elmali_goltarla,GÖLTARLA,Elmalı,7.194338940119014,6.03,2.8,-4.4,Risk Altinda,22.26,21.38,17.0,18.09,9.43,26.97,44.74,36.51,4.39,50.0,24.67
elmali_gumusyaka,GÜMÜŞYAKA,Elmalı,1.1987475131101966,4.61,0.0,-1.2,Risk Altinda,11.84,42.98,3.78,0.44,60.75,0.66,18.64,17.65,84.76,34.54,15.57
elmali_gundogan,GÜNDOĞAN,Elmalı,43.54877207498397,89.8,51.51,7.96,Yuksek Potansiyel,72.04,77.74,82.24,84.65,30.7,75.22,2.19,76.1,84.43,50.77,78.62
elmali_hacimusalar,HACIMUSALAR,Elmalı,16.871518357715814,18.53,13.72,-3.15,Risk Altinda,48.79,34.98,57.24,30.59,35.53,59.54,73.14,61.29,96.38,95.94,52.74
elmali_kapmescit,KAPMESCİT,Elmalı,24.119791666640214,77.3,29.58,5.46,Yuksek Potansiyel,65.46,84.43,60.64,74.45,25.44,76.97,43.42,17.65,95.18,62.06,76.97
elmali_karakoy,KARAKÖY,Elmalı,1.833378549462653,1.32,0.0,-1.83,Risk Altinda,32.68,16.34,3.78,3.84,9.65,31.8,50.77,17.65,48.36,51.21,33.22
elmali_karamik,KARAMIK,Elmalı,13.336521070690768,2.63,8.6,-4.74,Risk Altinda,34.76,16.23,22.81,6.8,22.26,19.3,64.14,41.01,30.26,55.59,37.83
elmali_karyagdi,KARYAĞDI,Elmalı,40.4111134105345,61.84,42.78,2.37,Orta Potansiyel,61.4,72.7,71.38,66.78,36.4,68.31,65.46,76.54,92.54,83.77,70.61
elmali_kizilca,KIZILCA,Elmalı,7.853092783488988,2.19,3.07,-4.78,Risk Altinda,39.47,29.39,11.07,1.32,17.0,16.34,33.88,44.63,77.52,61.07,39.04
elmali_kisla,KIŞLA,Elmalı,20.107750045175813,14.69,16.58,-3.53,Risk Altinda,41.56,64.04,37.94,16.12,24.67,24.34,75.11,51.54,90.79,86.73,41.56
elmali_kocapinar,KOCAPINAR,Elmalı,12.794673539492711,15.35,9.33,-3.46,Risk Altinda,25.99,56.25,10.09,17.76,62.83,28.18,37.72,42.65,92.0,61.4,28.73
elmali_kuzkoy,KUZKÖY,Elmalı,1.269262072704914,0.77,0.0,-1.27,Risk Altinda,28.62,15.46,3.78,0.88,41.89,1.21,59.54,17.65,31.8,58.44,32.68
elmali_kucuksogle,KÜÇÜKSÖĞLE,Elmalı,5.830439500801865,7.79,1.61,-4.22,Risk Altinda,13.38,23.14,17.32,10.09,64.25,10.64,33.77,17.65,25.33,57.57,14.04
elmali_macun,MACUN,Elmalı,7.923607343083705,8.44,3.77,-4.16,Risk Altinda,31.8,26.21,3.78,2.85,43.97,4.39,9.54,17.65,47.81,39.58,27.52
elmali_mursal,MURSAL,Elmalı,13.50167299689772,0.33,8.53,-4.97,Risk Altinda,38.93,9.98,3.78,13.27,36.62,21.49,82.35,17.65,79.06,89.91,47.81
elmali_pirhasanlar,PİRHASANLAR,Elmalı,13.407035630285488,0.22,8.43,-4.98,Risk Altinda,47.81,12.06,3.78,11.62,17.54,35.09,94.85,17.65,79.82,94.96,53.62
elmali_salur,SALUR,Elmalı,22.442145957632825,19.19,19.36,-3.08,Risk Altinda,43.75,53.84,28.95,1.97,40.57,13.05,54.71,17.65,58.99,59.87,47.92
elmali_sarilar,SARILAR,Elmalı,9.0759631036167,0.0,4.08,-5.0,Risk Altinda,50.88,6.47,3.78,6.91,23.36,12.28,92.54,17.65,76.97,95.07,54.5
elmali_tahtamescit,TAHTAMESCİT,Elmalı,7.66503947367008,35.09,6.17,-1.49,Dusuk Potansiyel,29.93,46.6,16.78,44.52,28.51,18.42,1.54,17.65,32.89,37.17,35.09
elmali_tavullar,TAVULLAR,Elmalı,13.642702116087156,0.11,8.65,-4.99,Risk Altinda,46.82,9.65,11.95,15.9,4.82,20.18,85.31,17.65,90.02,93.09,54.06
elmali_tekke,TEKKE,Elmalı,26.51711430633243,10.75,22.59,-3.93,Risk Altinda,32.46,13.49,30.26,42.65,28.07,8.66,51.21,44.3,12.5,57.68,42.43
elmali_toklular,TOKLULAR,Elmalı,27.37872516552977,98.46,37.07,9.69,Yuksek Potansiyel,79.39,80.81,82.68,88.93,41.45,84.21,0.0,17.65,80.7,72.04,84.65
elmali_yakaciftlikkoyu,YAKAÇİFTLİKKÖYÜ,Elmalı,18.57313709527821,11.18,14.69,-3.88,Risk Altinda,38.05,30.15,23.79,9.1,18.97,20.39,46.71,17.65,34.21,46.49,41.01
elmali_yalnizdam,YALNIZDAM,Elmalı,15.715454874267149,2.96,11.01,-4.7,Risk Altinda,35.2,21.71,12.17,6.58,51.32,23.9,65.24,17.65,57.13,74.12,40.02
elmali_yaprakli,YAPRAKLI,Elmalı,5.759924941207148,11.84,1.94,-3.82,Risk Altinda,12.83,21.16,3.78,0.22,87.61,1.86,6.25,17.65,17.32,32.79,8.88
elmali_yeni,YENİ,Elmalı,47.872826986664926,56.8,49.23,1.36,Orta Potansiyel,65.68,44.19,77.3,71.27,44.85,76.1,59.98,76.64,93.64,79.39,76.86
elmali_yilmazli,YILMAZLI,Elmalı,10.39347079035665,1.1,5.5,-4.89,Risk Altinda,53.29,7.24,3.78,1.86,19.96,6.14,42.87,17.65,67.11,53.62,50.66
elmali_yuva,YUVA,Elmalı,30.76650388852816,7.46,26.51,-4.25,Risk Altinda,28.73,11.73,35.75,8.33,43.42,20.94,40.46,42.54,30.15,37.06,41.34
elmali_yorenler,YÖRENLER,Elmalı,0.4230873575683046,15.24,0.0,-0.42,Risk Altinda,4.28,28.4,3.78,5.26,94.63,5.15,0.99,17.65,23.36,27.19,3.29
elmali_zumrutova,ZÜMRÜTOVA,Elmalı,26.088465364390625,25.11,23.6,-2.49,Dusuk Potansiyel,39.04,33.44,33.99,48.9,9.98,17.87,49.56,41.23,16.78,45.5,45.83
elmali_ilyagi,İLYAĞI,Elmalı,17.413365888913873,6.58,13.07,-4.34,Risk Altinda,31.14,8.55,28.29,21.71,65.13,22.26,31.36,17.65,93.42,52.08,33.0
elmali_caybasi,ÇAYBAŞI,Elmalı,24.025004521565467,33.11,22.34,-1.69,Dusuk Potansiyel,55.37,60.2,50.55,56.36,9.1,33.99,93.31,54.39,49.67,90.46,62.72
elmali_cobanisa,ÇOBANİSA,Elmalı,15.29051365524101,23.36,12.63,-2.66,Risk Altinda,41.89,49.45,44.08,52.19,10.31,38.27,53.4,48.79,98.57,75.99,46.49
elmali_cukurelma,ÇUKURELMA,Elmalı,20.955778621770257,23.25,18.28,-2.68,Risk Altinda,32.79,41.01,38.16,46.71,46.27,27.19,49.89,17.65,94.96,60.31,38.49
elmali_ozdemir,ÖZDEMİR,Elmalı,25.303535901559552,10.53,21.36,-3.95,Risk Altinda,33.11,17.87,43.97,47.04,21.82,40.02,49.12,53.07,82.35,64.58,39.25
elmali_imircik,İMİRCİK,Elmalı,3.056248869590367,3.18,0.0,-3.06,Risk Altinda,21.05,40.68,3.78,6.47,34.43,24.89,62.61,17.65,52.19,60.96,33.44
elmali_iplik_pazari,İPLİK PAZARI,Elmalı,37.33743791385852,96.38,46.61,9.28,Yuksek Potansiyel,97.04,83.55,90.57,92.43,16.23,92.65,41.23,89.69,68.53,86.51,90.13
elmali_islamlar,İSLAMLAR,Elmalı,22.677812443434497,3.95,18.07,-4.61,Risk Altinda,34.32,11.07,24.89,16.45,25.33,13.27,41.12,17.65,49.34,53.73,41.12
finike_alacadag,ALACADAĞ,Finike,4.138090070528646,22.81,1.42,-2.72,Risk Altinda,22.81,29.17,21.82,30.37,18.31,23.68,8.0,37.72,6.36,27.85,26.43
finike_arif,ARİF,Finike,26.893809911323537,16.12,23.51,-3.39,Risk Altinda,21.38,17.32,20.83,14.36,44.63,13.49,8.11,17.65,6.69,31.14,28.4
finike_asaronu,ASARÖNÜ,Finike,5.4073521432335605,29.06,3.31,-2.09,Dusuk Potansiyel,11.95,27.96,3.78,25.66,79.5,29.39,4.39,17.65,13.6,1.64,17.0
demre_beymelek,BEYMELEK,Demre,47.96723684160352,71.05,52.18,4.21,Yuksek Potansiyel,74.89,51.64,58.77,57.68,29.06,62.28,52.63,58.22,15.79,44.19,55.04
finike_boldag,BOLDAĞ,Finike,15.67044112682117,26.32,13.3,-2.37,Dusuk Potansiyel,14.47,4.82,51.32,54.28,28.84,44.3,19.85,40.57,20.5,11.51,26.21
finike_dagbag,DAĞBAĞ,Finike,4.420148308907516,2.3,0.0,-4.42,Risk Altinda,26.64,11.51,3.78,3.95,6.36,10.53,30.48,17.65,9.76,13.16,39.69
finike_ernez,ERNEZ,Finike,21.73514650022782,5.04,17.24,-4.5,Risk Altinda,23.79,6.03,16.89,9.65,35.75,14.8,18.86,17.65,24.78,30.92,36.51
finike_eski,ESKİ,Finike,40.35901315773595,50.66,40.49,0.13,Orta Potansiyel,55.92,11.18,84.43,70.94,23.25,72.81,36.07,78.95,43.53,35.64,77.3
finike_gokbuk,GÖKBÜK,Finike,23.10275366246064,34.32,21.53,-1.57,Dusuk Potansiyel,33.0,15.13,55.15,43.31,49.23,27.08,31.14,17.65,32.24,4.82,43.75
finike_gokceyaka,GÖKÇEYAKA,Finike,5.618895822017713,13.6,1.98,-3.64,Risk Altinda,7.89,12.28,9.21,23.46,86.18,11.51,16.67,40.79,13.38,13.6,10.75
finike_hasyurt,HASYURT,Finike,79.30160978457354,81.03,85.51,6.21,Yuksek Potansiyel,69.74,83.88,73.25,73.57,52.08,62.39,91.45,72.26,40.68,53.29,67.11
finike_kale,KALE,Finike,66.24207152452567,91.67,74.58,8.33,Yuksek Potansiyel,61.73,96.82,87.28,80.81,39.14,84.65,61.62,80.04,32.68,73.9,82.13
finike_karsiyaka,KARŞIYAKA,Finike,57.89692982419896,93.97,66.69,8.79,Yuksek Potansiyel,59.21,87.17,76.86,81.69,43.2,78.95,0.33,72.81,43.31,66.56,84.32
finike_kizilca,KIZILCA,Finike,53.9294028336845,87.5,61.43,7.5,Yuksek Potansiyel,63.82,69.41,78.4,85.64,58.0,83.99,50.44,17.65,55.26,69.74,83.11
finike_kum,KUM,Finike,53.94950331113654,81.25,60.2,6.25,Yuksek Potansiyel,77.96,86.18,75.22,75.77,17.43,80.04,97.92,74.56,34.98,58.88,81.8
finike_sahilkent,SAHİLKENT,Finike,39.71256486269755,71.49,44.01,4.3,Yuksek Potansiyel,62.17,71.27,63.38,68.86,25.99,54.82,66.01,65.46,30.59,33.99,62.61
finike_saklisu,SAKLISU,Finike,17.824054855383714,41.67,16.99,-0.83,Dusuk Potansiyel,57.35,32.89,52.74,46.49,30.26,50.77,71.38,54.5,35.09,19.63,58.44
finike_turuncova,TURUNÇOVA,Finike,33.540649303608326,71.71,37.88,4.34,Yuksek Potansiyel,66.12,65.13,69.74,62.72,31.25,58.44,69.96,70.5,26.1,27.52,68.75
finike_yalniz,YALNIZ,Finike,22.37163139803811,6.47,18.02,-4.35,Risk Altinda,17.11,14.36,19.96,12.61,26.86,9.54,8.88,35.96,8.88,35.53,31.36
finike_yazir,YAZIR,Finike,15.125361729034058,10.2,11.15,-3.98,Risk Altinda,18.09,33.99,20.61,5.7,17.65,10.31,28.51,17.65,10.75,24.12,36.73
