mah_id,mah_name,ilce_name,current_score,future_potential_score,predicted_score_5y,score_change_5y,future_class,growth_built_growth,growth_ntl_growth,growth_poi_vitality,growth_accessibility,growth_pop_dynamics,growth_urban_form,risk_flood_risk,risk_noise_risk,risk_heat_risk,risk_low_green,risk_overcrowding
aksu_boztepe,BOZTEPE,Aksu,39.89236842067203,17.21,36.61,-3.28,Risk Altinda,75.66,3.29,46.82,61.84,12.5,56.36,99.56,55.7,70.07,86.29,60.64
aksu_cumhuriyet,CUMHURİYET,Aksu,28.613684210331613,73.25,33.26,4.65,Yuksek Potansiyel,92.0,83.44,68.75,70.83,1.32,67.76,67.32,73.79,91.78,77.85,81.25
aksu_cihadiye,CİHADİYE,Aksu,44.11019736822952,63.38,46.79,2.68,Orta Potansiyel,85.31,53.62,74.67,76.1,21.16,74.01,77.96,79.28,92.98,72.37,78.51
aksu_dumanlar,DUMANLAR,Aksu,29.95229799839685,59.1,31.77,1.82,Orta Potansiyel,90.68,69.63,47.92,68.2,3.29,35.64,98.9,17.65,65.9,84.65,71.6
aksu_fatih,FATİH,Aksu,33.83828947340212,75.33,38.9,5.07,Yuksek Potansiyel,91.23,80.59,69.41,67.65,8.44,68.64,55.7,73.9,94.85,64.47,72.04
aksu_gokdere,GÖKDERE,Aksu,32.34922164553031,48.79,32.23,-0.12,Orta Potansiyel,89.25,63.16,54.28,45.83,2.63,45.39,87.39,59.76,79.17,72.92,73.36
aksu_guloluk,GÜLOLUK,Aksu,23.239992587012765,47.15,22.95,-0.29,Orta Potansiyel,67.21,54.39,42.43,55.81,9.54,52.96,80.15,17.65,63.82,60.42,56.25
aksu_hacialiler,HACIALİLER,Aksu,50.56421052578058,79.93,56.55,5.99,Yuksek Potansiyel,90.57,80.26,72.92,71.71,15.79,69.63,62.17,77.52,76.75,67.98,77.96
aksu_karacalli,KARAÇALLI,Aksu,31.58657894727652,68.86,35.36,3.77,Orta Potansiyel,81.14,80.37,69.52,66.45,19.52,68.42,86.84,59.87,85.42,75.11,73.9
aksu_karaoz,KARAÖZ,Aksu,31.328131949464787,33.33,29.66,-1.67,Dusuk Potansiyel,61.29,32.79,50.88,36.62,47.15,39.8,57.68,54.06,78.84,53.07,44.3
aksu_kayadibi,KAYADİBİ,Aksu,9.953298739779168,18.75,6.83,-3.13,Risk Altinda,37.5,34.32,40.68,35.96,20.29,18.09,55.48,17.65,68.2,41.56,34.98
aksu_kemeragzi,KEMERAĞZI,Aksu,53.15528947340258,75.0,58.16,5.0,Yuksek Potansiyel,85.09,89.04,77.08,69.41,13.71,80.15,96.27,76.32,75.55,83.44,77.74
aksu_konak,KONAK,Aksu,30.836342105177813,70.61,34.96,4.12,Yuksek Potansiyel,76.54,57.13,77.74,77.96,27.19,75.77,65.9,78.73,70.72,60.64,69.41
aksu_kumkoy,KUMKÖY,Aksu,35.58373205698528,49.78,35.56,-0.02,Orta Potansiyel,79.71,41.56,59.54,64.58,17.32,71.16,98.46,58.11,69.3,65.35,60.86
aksu_kundu,KUNDU,Aksu,46.07368420975719,66.89,49.45,3.38,Orta Potansiyel,89.58,78.07,65.79,65.68,12.72,63.27,99.23,70.29,74.45,88.49,68.42
aksu_kursunlu,KURŞUNLU,Aksu,38.445700518743166,60.75,40.59,2.15,Orta Potansiyel,80.81,75.99,56.47,56.03,5.15,48.79,64.58,66.78,83.99,62.39,67.21
aksu_macun,MACUN,Aksu,50.530657894481,91.12,58.75,8.22,Yuksek Potansiyel,87.72,82.24,80.15,76.64,57.35,78.18,47.15,76.97,90.57,64.8,76.32
aksu_mandirlar,MANDIRLAR,Aksu,35.38959210514991,73.03,39.99,4.61,Yuksek Potansiyel,78.29,82.89,66.67,71.82,20.18,63.71,75.0,70.61,82.46,56.03,67.65
aksu_murtuna,MURTUNA,Aksu,34.941401037660754,69.08,38.76,3.82,Orta Potansiyel,93.2,67.43,58.0,64.91,7.89,59.65,70.07,54.61,73.36,58.33,68.09
aksu_pinarli,PINARLI,Aksu,57.0451973681008,89.91,65.03,7.98,Yuksek Potansiyel,94.52,86.29,88.27,86.62,25.55,83.0,58.88,88.93,84.21,85.75,91.12
aksu_solak,SOLAK,Aksu,38.19723684174694,27.3,35.93,-2.27,Dusuk Potansiyel,75.0,2.08,60.96,66.56,19.08,71.93,99.89,67.0,60.96,88.16,54.61
aksu_sogucaksu,SOĞUCAKSU,Aksu,42.18636842087466,79.5,48.09,5.9,Yuksek Potansiyel,92.76,70.29,80.59,83.77,10.75,79.71,57.89,82.68,91.56,75.33,80.15
aksu_topalli,TOPALLI,Aksu,39.27097850243207,67.11,42.69,3.42,Orta Potansiyel,82.35,80.7,61.95,65.57,8.11,49.34,66.89,69.96,95.94,51.64,64.47
aksu_yenidumanlar,YENİDUMANLAR,Aksu,17.13613787984975,47.7,16.91,-0.23,Orta Potansiyel,72.7,63.49,56.36,61.29,11.62,40.57,100.0,59.65,58.55,83.66,61.62
aksu_yesilkaraman,YEŞİLKARAMAN,Aksu,26.01323202361949,54.06,26.82,0.81,Orta Potansiyel,59.87,66.56,48.9,56.8,26.21,51.1,69.3,55.04,69.85,47.26,44.41
aksu_yurtpinar,YURTPINAR,Aksu,42.73986842062808,69.74,46.69,3.95,Orta Potansiyel,84.54,81.58,58.88,62.39,6.91,59.43,76.86,62.72,67.65,62.61,67.0
aksu_calkaya,ÇALKAYA,Aksu,49.58999999947606,51.86,49.96,0.37,Orta Potansiyel,80.48,46.71,72.7,67.54,15.35,67.54,92.98,73.03,79.93,79.5,69.63
aksu_camkoy,ÇAMKÖY,Aksu,46.02157894689944,75.44,51.11,5.09,Yuksek Potansiyel,98.03,89.36,71.6,70.18,0.66,63.38,72.26,75.0,89.69,82.57,89.14
aksu_ihsaniye,İHSANİYE,Aksu,20.35833951067212,51.21,20.6,0.24,Orta Potansiyel,98.57,78.84,22.04,43.86,16.89,51.97,99.67,69.63,71.71,89.8,69.3
alanya_akdam,AKDAM,Alanya,20.42197368410647,51.32,20.69,0.26,Orta Potansiyel,59.76,41.67,27.19,32.57,32.02,42.11,25.33,17.65,21.71,18.09,54.39
alanya_akcati,AKÇATI,Alanya,23.008116295848403,49.01,22.91,-0.1,Orta Potansiyel,11.07,41.89,48.57,38.82,83.0,26.1,14.04,47.37,0.77,18.97,19.19
alanya_alacami,ALACAMİ,Alanya,11.900253210321068,27.96,9.7,-2.2,Dusuk Potansiyel,42.32,22.26,22.37,10.64,50.55,11.62,19.96,17.65,3.4,34.32,20.72
alanya_alara,ALARA,Alanya,44.7931216259305,47.26,44.52,-0.27,Orta Potansiyel,58.33,36.07,59.87,58.88,41.78,52.85,69.74,59.32,47.04,58.77,54.93
alanya_aliefendi,ALİEFENDİ,Alanya,33.67988782034366,82.02,40.08,6.4,Yuksek Potansiyel,61.84,78.51,52.63,45.07,76.86,45.83,28.95,58.44,29.82,28.4,46.93
alanya_asmaca,ASMACA,Alanya,21.286082474184163,64.8,24.25,2.96,Orta Potansiyel,16.89,52.41,46.93,52.52,87.5,30.7,7.57,40.02,6.03,14.14,12.72
alanya_avsallar,AVSALLAR,Alanya,62.32787081208757,86.51,69.63,7.3,Yuksek Potansiyel,69.08,74.01,72.37,65.79,46.05,70.94,43.31,72.48,23.68,34.65,70.07
alanya_bademagaci,BADEMAĞACI,Alanya,17.67315518173306,59.32,19.54,1.86,Orta Potansiyel,13.16,62.5,41.12,19.19,95.07,12.94,2.41,17.65,2.19,10.96,12.28
alanya_basirli,BASIRLI,Alanya,13.71571356273225,91.34,21.98,8.27,Yuksek Potansiyel,67.76,96.05,3.78,79.5,82.46,69.85,46.6,17.65,22.92,39.14,66.12
alanya_baskoy,BAŞKÖY,Alanya,14.843303490655188,66.78,18.2,3.36,Orta Potansiyel,19.52,63.6,38.05,39.36,90.13,41.23,5.15,17.65,12.61,33.33,18.2
alanya_bektas,BEKTAŞ,Alanya,31.9373982636395,98.57,41.65,9.71,Yuksek Potansiyel,62.06,82.68,70.61,69.85,77.08,68.97,4.93,71.6,5.92,33.55,58.66
alanya_beldibi,BELDİBİ,Alanya,11.406651293158047,38.6,10.27,-1.14,Dusuk Potansiyel,9.32,55.04,13.27,23.9,96.49,15.79,23.9,17.65,24.23,6.91,7.68
alanya_beyreli,BEYRELİ,Alanya,21.71063174756853,80.59,27.83,6.12,Yuksek Potansiyel,29.71,81.69,47.7,42.87,92.21,36.4,3.95,17.65,24.01,19.52,26.97
alanya_bicakci,BIÇAKÇI,Alanya,12.038621200851928,54.39,12.92,0.88,Orta Potansiyel,15.9,58.33,45.83,40.24,95.5,29.17,34.43,17.65,14.69,58.11,17.11
alanya_bucak,BUCAK,Alanya,11.970767769915785,53.4,12.65,0.68,Orta Potansiyel,10.31,36.62,50.0,43.2,96.16,38.49,17.21,17.65,19.52,7.35,8.66
alanya_buyukhasbahce,BÜYÜKHASBAHÇE,Alanya,68.97252445972237,99.89,78.95,9.98,Yuksek Potansiyel,94.63,84.32,75.66,75.55,64.91,78.84,1.21,75.44,26.75,46.38,75.88
alanya_buyukpinar,BÜYÜKPINAR,Alanya,17.596132759741785,61.73,19.94,2.35,Orta Potansiyel,51.54,41.34,53.18,42.76,75.0,51.43,35.09,17.65,39.36,38.49,49.56
alanya_cumhuriyet,CUMHURİYET,Alanya,79.02872078838057,92.11,87.45,8.42,Yuksek Potansiyel,79.17,93.53,94.74,92.11,34.76,89.36,81.91,96.49,54.17,92.0,90.46
alanya_cikcilli,CİKCİLLİ,Alanya,93.2322976696593,99.56,95.0,1.77,Yuksek Potansiyel,93.42,96.27,88.6,84.43,60.64,85.75,44.19,90.35,41.45,74.89,88.05
alanya_demirtas,DEMİRTAŞ,Alanya,66.88623903464068,80.81,73.05,6.16,Yuksek Potansiyel,77.08,59.32,66.56,66.23,46.93,66.23,54.61,67.87,24.89,40.79,61.51
alanya_degirmendere,DEĞİRMENDERE,Alanya,55.01269399426561,99.23,64.86,9.85,Yuksek Potansiyel,69.41,85.75,68.42,74.56,89.8,57.89,3.29,68.31,18.75,27.63,52.96
alanya_dinek,DİNEK,Alanya,58.54109733431396,89.36,66.41,7.87,Yuksek Potansiyel,68.97,72.48,78.29,73.03,69.63,77.52,55.37,77.3,25.99,54.06,68.31
alanya_elikesik,ELİKESİK,Alanya,32.28732057380064,80.26,38.34,6.05,Yuksek Potansiyel,73.46,72.81,50.99,63.16,10.09,56.25,16.45,57.79,24.56,35.96,65.35
alanya_emisbeleni,EMİŞBELENİ,Alanya,31.38881578923511,66.56,34.7,3.31,Orta Potansiyel,81.69,63.71,58.66,47.48,2.52,46.71,34.1,61.4,44.52,44.52,75.0
alanya_fakircali,FAKIRCALI,Alanya,8.020088954761672,50.22,8.06,0.04,Orta Potansiyel,8.77,67.0,32.68,22.7,96.82,18.64,27.19,17.65,27.3,5.7,8.0
alanya_figla,FIĞLA,Alanya,65.37144729562768,97.81,74.93,9.56,Yuksek Potansiyel,100.0,89.14,89.58,93.42,22.81,88.27,58.55,88.49,47.48,89.25,92.43
alanya_gozukucuklu,GÖZÜKÜÇÜKLÜ,Alanya,21.805661059822537,52.19,22.24,0.44,Orta Potansiyel,12.5,43.64,41.23,33.33,96.05,35.42,8.66,47.48,7.68,12.28,11.84
alanya_guller_pinari,GÜLLER PINARI,Alanya,93.17489242633818,94.63,95.0,1.83,Yuksek Potansiyel,75.77,89.69,96.49,96.05,46.38,95.18,78.07,95.18,41.12,95.29,95.61
alanya_gumuskavak,GÜMÜŞKAVAK,Alanya,21.900298426434773,53.73,22.65,0.75,Orta Potansiyel,7.57,52.96,36.84,33.55,98.68,13.6,7.24,17.65,4.5,9.76,6.03
alanya_hacet,HACET,Alanya,91.93260776193158,96.05,95.0,3.07,Yuksek Potansiyel,84.43,88.27,95.39,91.12,58.22,91.78,77.08,96.71,45.72,94.3,95.5
alanya_hacikerimler,HACIKERİMLER,Alanya,20.861141255158024,72.7,25.4,4.54,Yuksek Potansiyel,49.78,46.93,54.06,48.68,72.26,44.74,0.66,17.65,29.39,28.73,44.19
alanya_hacimehmetli,HACIMEHMETLİ,Alanya,26.734868420870196,92.43,35.22,8.49,Yuksek Potansiyel,30.59,78.4,56.69,51.43,98.46,67.32,0.44,17.65,13.27,10.64,30.7
alanya_hocalar,HOCALAR,Alanya,17.585100074065387,61.29,19.84,2.26,Orta Potansiyel,64.8,52.19,44.74,39.58,12.39,46.27,4.28,50.66,28.07,36.62,57.13
alanya_hisarici,HİSARİÇİ,Alanya,31.051956814971422,64.04,33.86,2.81,Orta Potansiyel,60.86,0.99,86.29,81.91,75.66,85.42,60.64,80.7,18.53,49.56,56.47
alanya_kadipasa,KADIPAŞA,Alanya,91.78129208261124,93.75,95.0,3.22,Yuksek Potansiyel,64.47,89.8,97.26,95.18,51.86,95.94,61.4,96.38,44.63,96.27,97.37
alanya_karapinar,KARAPINAR,Alanya,16.424308193129995,28.18,14.24,-2.18,Dusuk Potansiyel,15.57,28.51,31.03,23.25,74.56,20.29,24.12,37.83,8.11,31.47,9.76
alanya_kargicak,KARGICAK,Alanya,53.48433014250212,90.02,61.49,8.0,Yuksek Potansiyel,69.63,79.5,67.43,64.47,56.03,69.74,42.54,66.67,17.65,37.94,61.84
alanya_kayabasi,KAYABAŞI,Alanya,23.17326822205536,81.91,29.55,6.38,Yuksek Potansiyel,56.03,75.88,48.36,36.84,58.55,42.21,1.32,17.65,20.39,23.03,49.89
alanya_kestel,KESTEL,Alanya,64.45191387422088,97.48,73.95,9.5,Yuksek Potansiyel,85.75,90.68,77.52,78.29,62.39,71.71,68.09,80.59,26.32,53.95,72.92
